C:\EngNCERP\eegdata\dat\vhassan512.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	7966.263	7979.899	-1345598.384	-1286896.263	8186.162	8167.475	-1311899.495	-1381319.293	-1175031.010	-1360416.162	-1238804.646	-1252056.465	-1233513.838	-1282127.879	-1314958.182	-1299754.343	195473.939	-1153658.081	196005.455	-1336662.323	196195.152	-1372622.727	196714.646	-1010886.263	195499.192	-1139713.030	196370.606	-1177047.273	196021.616	-1158895.556	196501.414	-1270602.727	-1161694.545	-1303992.626	-1257016.970	-1360867.475	
0.004	-214.848	-238.889	-400534.949	-309724.747	-230.303	-219.394	-340540.202	-429696.263	-237653.333	-433934.343	-280263.434	-287446.465	-261343.636	-318084.848	-365237.374	-337311.111	12499.495	-207334.747	12557.172	-409591.010	12626.970	-449185.556	12648.081	-126563.030	12503.838	-201706.869	12640.909	-231239.596	12570.404	-216408.283	12636.263	-310570.505	-242762.121	-337122.424	-317693.434	-414902.222	
0.006	-236.263	-267.475	-17934.343	-6697.576	-252.828	-234.545	-9331.919	-22167.879	-2846.566	-25815.253	-5016.970	-5430.404	-3564.646	-7821.010	-13236.364	-9665.354	-166.566	-1566.162	-172.828	-21241.111	-131.919	-29254.949	-199.293	-241.515	-167.475	-1452.020	-149.697	-2482.323	-172.121	-1866.970	-173.232	-7343.131	-3268.283	-9374.747	-8208.283	-21030.000	
0.008	-240.808	-276.667	-22.828	-65.556	-265.556	-240.101	23.535	100.707	-100.909	95.859	32.929	-7.172	198.990	108.586	67.273	141.818	383.636	-118.485	392.727	-19.192	451.717	243.737	394.646	-332.222	385.354	-230.303	440.808	-114.343	392.020	-61.010	414.848	76.162	69.899	203.535	266.364	207.879	
0.010	-31353.939	-30617.576	-113305.253	-115022.929	-42819.293	-24928.384	-112196.061	-99662.121	-120363.535	-90807.576	-107338.687	-106603.232	-99256.263	-99060.808	-97499.192	-98081.717	47102.121	-118797.273	47392.020	-100298.889	47572.020	-84916.869	47776.364	-145310.000	47113.636	-124504.040	47679.495	-120250.505	47365.354	-120167.374	47687.172	-101960.606	-101781.212	-91927.576	-82480.606	-85337.576	
0.012	-284542.929	-214986.768	-826473.535	-870473.737	-351224.040	-237796.364	-852927.778	-786154.646	-888210.707	-737097.071	-833267.778	-829266.263	-830421.212	-800108.182	-770605.758	-789807.576	245275.051	-901324.545	245992.626	-759902.222	246191.010	-715327.980	246708.788	-1022874.949	245291.212	-913611.313	246376.162	-892281.919	245897.475	-899002.727	246527.778	-810547.677	-814276.364	-773249.495	-736804.040	-729312.727	
0.014	-465052.929	-225814.848	-1782305.556	-1852346.566	-565822.424	-382558.485	-1831745.657	-1749195.960	-1860196.061	-1688740.303	-1817241.616	-1813688.384	-1830362.828	-1785193.838	-1741018.788	-1770175.051	459016.869	-1881497.273	459910.000	-1707845.455	460017.677	-1663196.162	460779.293	-1963328.182	459019.293	-1887170.303	460311.010	-1867815.152	459779.192	-1875670.606	460500.202	-1793908.182	-1800245.051	-1761241.616	-1724991.313	-1697578.990	
0.016	-95237.172	39517.778	-2016509.091	-2016509.091	-168157.778	-48828.182	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	545250.000	-2016509.091	546179.697	-2016509.091	546231.111	-2016509.091	547093.232	-2016509.091	545251.010	-2016509.091	546599.697	-2016509.091	546022.929	-2016509.091	546769.394	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.018	90396.970	93430.303	-2016509.091	-2016509.091	78481.010	93004.848	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	546514.545	-2016509.091	547449.293	-2016509.091	547501.717	-2016509.091	548356.061	-2016509.091	546514.545	-2016509.091	547862.525	-2016509.091	547284.343	-2016509.091	548034.646	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.020	99082.929	99254.848	-2016509.091	-2016509.091	100080.404	100070.303	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	513531.616	-2016509.091	514446.364	-2016509.091	514520.909	-2016509.091	515351.919	-2016509.091	513529.697	-2016509.091	514857.475	-2016509.091	514303.333	-2016509.091	515040.101	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.021	27769.697	27834.646	-1637841.717	-1603557.677	28258.283	28221.414	-1619825.152	-1667274.646	-1508761.313	-1643261.212	-1559257.778	-1570619.697	-1561032.626	-1592251.313	-1611690.808	-1604951.616	297912.727	-1497340.707	298605.859	-1623017.980	298782.727	-1651373.333	299442.222	-1385737.273	297932.929	-1484671.414	299011.414	-1513641.818	298587.576	-1499852.727	299181.818	-1583124.545	-1484189.192	-1608734.141	-1560371.010	-1647400.707	
0.023	55.758	37.980	-679918.889	-578299.091	62.929	71.111	-616399.091	-714222.121	-481569.697	-711575.253	-537404.646	-546740.808	-516826.364	-585129.697	-638859.495	-608551.111	41919.697	-440102.626	42080.303	-683282.626	42187.475	-726447.172	42327.677	-314739.798	41929.798	-431243.939	42238.182	-473690.909	42103.131	-453052.424	42263.939	-575310.202	-482787.273	-609328.788	-579532.121	-694236.162	
0.025	-230.303	-261.515	-69418.586	-36291.111	-246.162	-232.424	-45856.768	-79830.707	-22201.515	-87277.475	-30155.253	-31497.677	-25329.596	-39922.929	-56487.475	-46279.394	-112.727	-15466.869	-117.980	-76061.616	-78.283	-94214.040	-143.232	-4638.788	-113.939	-14697.778	-94.949	-20486.263	-116.566	-17510.303	-118.182	-38204.444	-23410.707	-45482.222	-40999.899	-75886.869	
0.027	-238.182	-272.525	-177.576	-249.697	-252.626	-237.475	-183.333	-303.838	-112.020	-385.758	-118.687	-143.939	-98.283	-147.576	-145.657	-130.202	-144.949	-167.273	-150.000	-236.970	-104.040	-428.586	-173.737	-128.283	-146.162	-173.232	-124.242	-137.980	-150.404	-106.667	-147.071	-150.707	-134.848	-95.657	-132.929	-216.768	
0.029	-4310.202	-4120.202	-34224.343	-34086.566	-7815.253	-2301.111	-33120.202	-28583.535	-36599.798	-25699.394	-31714.747	-31499.394	-27741.818	-28362.323	-28381.818	-28008.990	16994.343	-35713.434	17139.091	-30001.414	17266.970	-23303.535	17345.152	-45813.535	16998.485	-38430.909	17324.949	-36549.798	17127.273	-36347.576	17306.667	-29541.717	-29480.202	-25489.293	-21565.152	-23209.495	
0.031	-132055.354	-94285.455	-514772.626	-538067.475	-177538.788	-100563.636	-526977.879	-482145.859	-550163.131	-446647.576	-510734.949	-507837.374	-501008.687	-486096.465	-470151.212	-479698.384	176803.939	-556217.071	177407.273	-468164.747	177613.838	-430970.808	178056.162	-647253.939	176817.879	-568560.303	177791.212	-552609.495	177330.202	-556449.293	177893.939	-494227.172	-495994.141	-465371.010	-438119.495	-437471.818	
0.033	-407659.596	-214858.182	-1487192.525	-1565602.222	-504895.556	-333900.303	-1541534.949	-1449097.677	-1585045.657	-1384354.444	-1529258.485	-1524680.404	-1542336.465	-1488925.152	-1439833.232	-1470730.404	411014.141	-1614485.051	411886.566	-1409115.051	412016.869	-1359899.091	412701.313	-1738589.091	411015.657	-1624615.152	412266.667	-1595355.859	411751.010	-1606952.727	412457.576	-1499855.354	-1508363.737	-1459370.101	-1416407.273	-1390011.111	
0.035	-599797.475	-274191.313	-2016509.091	-2016509.091	-694860.909	-482632.020	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	553590.909	-2016509.091	554526.970	-2016509.091	554574.545	-2016509.091	555441.717	-2016509.091	553590.606	-2016509.091	554946.263	-2016509.091	554366.667	-2016509.091	555115.758	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.037	-603100.606	-165876.364	-2016509.091	-2016509.091	-661481.515	-434059.798	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	573138.586	-2016509.091	574091.515	-2016509.091	574124.747	-2016509.091	575001.010	-2016509.091	573137.879	-2016509.091	574504.040	-2016509.091	573913.131	-2016509.091	574670.404	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.039	-386146.566	96220.000	-2016509.091	-2016509.091	-430520.101	-210276.566	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	563086.061	-2016509.091	564033.030	-2016509.091	564073.434	-2016509.091	564940.808	-2016509.091	563085.657	-2016509.091	564444.343	-2016509.091	563860.000	-2016509.091	564614.343	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.041	-38849.697	79489.596	-1823262.222	-1810746.061	-54601.919	29605.455	-1817579.394	-1850508.687	-1729479.394	-1819925.657	-1777258.788	-1788730.606	-1782122.929	-1797650.303	-1808751.717	-1804746.364	441480.606	-1742687.273	442323.232	-1813088.384	442436.667	-1832860.606	443230.707	-1671498.283	441488.485	-1734226.667	442750.606	-1741638.586	442233.333	-1735537.576	442924.949	-1789978.283	-1713271.414	-1809534.949	-1768299.899	-1832006.970	
0.043	5920.101	6212.424	-921431.919	-842548.889	5910.000	6354.545	-871251.919	-966298.990	-725148.283	-949043.939	-804285.152	-820792.020	-787897.576	-850562.020	-898757.980	-872144.242	141749.192	-711533.939	142155.657	-934764.242	142319.596	-974605.960	142740.808	-568260.606	141773.232	-701103.030	142478.283	-730084.444	142176.869	-713154.242	142559.293	-836855.556	-736188.990	-876435.960	-838662.424	-949864.242	
0.045	-229.091	-256.263	-147667.879	-97903.535	-239.394	-219.899	-112435.960	-168066.667	-65128.788	-172588.889	-87253.838	-91643.434	-77538.182	-105105.354	-133673.535	-116261.717	5014.545	-55912.424	5037.576	-162734.040	5091.515	-189210.909	5068.586	-25943.434	5015.253	-54044.747	5090.000	-63979.596	5043.434	-58326.061	5073.939	-100558.788	-71282.626	-116066.768	-106851.818	-162772.222	
0.047	-241.111	-272.828	-1000.707	-311.515	-252.121	-234.545	-344.646	-1659.495	-134.343	-2192.626	-161.212	-191.818	-125.152	-268.485	-704.545	-390.101	-165.859	-186.061	-171.313	-1660.707	-127.172	-3131.414	-198.081	-150.909	-167.273	-192.020	-147.576	-160.505	-173.232	-129.293	-171.313	-243.232	-158.384	-328.384	-287.273	-1568.384	
0.049	-958.687	-1045.960	-2944.444	-2694.646	-1550.101	-672.121	-2372.929	-1126.465	-4068.788	-1014.242	-2564.141	-2641.515	-1116.364	-1511.111	-1765.455	-1377.980	7161.313	-3813.939	7261.616	-2457.879	7372.929	-43.030	7410.909	-6522.828	7166.869	-4780.909	7414.747	-4009.899	7250.505	-3848.384	7386.162	-1856.566	-1973.939	-708.889	654.848	-47.778	
0.051	-101513.232	-91526.869	-277542.626	-286532.525	-128436.768	-84148.788	-279938.687	-252635.253	-296809.798	-233104.343	-269916.768	-268330.808	-258247.475	-253790.909	-247058.586	-251120.202	111802.727	-296472.929	112308.990	-249403.535	112526.869	-220792.121	112911.919	-352477.475	111818.889	-306063.131	112694.848	-296990.808	112249.394	-297992.323	112755.960	-259402.929	-259630.808	-239379.192	-219692.020	-223210.808	
0.053	-384045.455	-246763.131	-1172438.283	-1240998.889	-465217.374	-318530.000	-1217371.919	-1130657.273	-1264596.465	-1070766.364	-1202228.384	-1197669.899	-1209181.111	-1162046.566	-1118003.333	-1146031.313	329485.960	-1289411.616	330301.616	-1095803.232	330468.485	-1045731.616	331063.535	-1431068.586	329494.646	-1301385.657	330670.202	-1272641.515	330183.131	-1283347.172	330856.970	-1173827.778	-1180731.919	-1130865.657	-1087369.596	-1069351.818	
0.055	-383317.475	-38275.354	-1965166.768	-2016509.091	-471856.869	-283926.263	-2006155.152	-1946320.505	-2013489.697	-1891829.798	-1990407.980	-1988630.404	-2000139.495	-1968722.626	-1934954.242	-1955789.293	506836.364	-2016509.091	507755.859	-1909452.626	507829.495	-1875082.828	508652.828	-2016509.091	506835.657	-2016509.091	508161.919	-2016509.091	507610.202	-2016509.091	508344.848	-1974391.818	-1978926.566	-1951793.838	-1926508.788	-1903476.667	
