C:\EngNCERP\eegdata\dat\vmultiamino.NED	Frequency:	128Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0.008	1277632.121	1270565.152	-1048032.020	-977201.515	1259051.515	1259475.859	-894970.909	-956058.283	-991067.778	-945677.172	-886067.071	-953613.838	2016801.212	-971133.232	1233127.778	-982737.778	2016801.212	-956114.747	1992452.828	2016801.212	2016801.212	-921647.071	-335517.172	-1011144.444	
0.016	1302738.485	1298148.889	1781020.606	1830409.192	1287709.798	1288575.051	1868391.111	1835336.364	1845255.657	1869317.172	1857913.636	1867493.939	2016801.212	1856987.374	2016801.212	1853971.212	2016801.212	1847513.030	2016801.212	2016801.212	2016801.212	1869990.101	1895519.091	1833377.071	
0.023	1303214.444	1298661.919	2016801.212	2016801.212	1288439.192	1289072.222	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1600376.263	2016801.212	
0.031	1301396.263	1296258.384	1668907.980	1377048.990	1286335.657	1287087.677	1067363.434	1360985.253	1486912.222	1292509.697	1840410.000	1323582.727	2016801.212	1378422.222	2016801.212	1391545.152	2016801.212	1472174.747	2016801.212	2016801.212	2016801.212	1312539.192	-916728.182	1529254.343	
0.039	1288730.808	1282540.202	-755789.394	-1151611.616	1271791.919	1272258.081	-1382845.152	-1162182.626	-1052583.333	-1254682.121	-332280.707	-1230508.788	2016801.212	-1177624.242	1722705.051	-1164823.232	2016801.212	-1069756.869	2016801.212	2016801.212	2016801.212	-1239684.040	-1791248.889	-1006389.293	
0.047	1287913.434	1281736.970	-744981.818	-654231.010	1270650.505	1271173.131	-530051.414	-631855.859	-671199.192	-614130.808	-595749.798	-624722.121	2016801.212	-651195.354	1384831.111	-654863.030	2016801.212	-662109.495	2016801.212	2016801.212	2016801.212	-620094.747	-496273.737	-713080.909	
0.055	1299753.838	1294879.596	1648302.424	1709795.354	1284191.515	1285113.939	1765397.980	1716497.374	1720652.727	1752121.919	1735045.556	1748762.222	2016801.212	1734920.707	1997325.859	1733758.384	2016801.212	1725104.545	2016801.212	2016801.212	2016801.212	1750033.030	1800458.283	1701459.192	
0.063	1302458.384	1297599.293	2016801.212	2016801.212	1287287.475	1288270.202	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1803557.778	2016801.212	
0.070	1298263.838	1293037.677	1809086.566	1581929.293	1282898.586	1283583.737	1357357.980	1571792.626	1651108.687	1529808.283	1924367.273	1550405.556	2016801.212	1585682.727	2016801.212	1600334.646	2016801.212	1644478.081	2016801.212	2016801.212	2016801.212	1519775.253	-509514.949	1693328.889	
0.078	1300281.515	1294990.707	-435475.253	-915827.071	1285022.626	1285746.465	-1181534.444	-925040.808	-831246.465	-1023786.566	-39431.010	-999494.444	2016801.212	-946587.273	1826681.515	-924587.677	2016801.212	-841946.869	2016801.212	2016801.212	2016801.212	-1038738.283	-1789390.808	-758004.242	
0.086	1306942.626	1302311.010	-1016331.919	-945211.010	1292179.899	1293108.586	-847949.293	-928741.111	-948588.889	-911563.838	-849036.364	-919675.051	2016801.212	-939011.919	1378857.071	-948930.303	2016801.212	-945316.263	2016801.212	2016801.212	2016801.212	-895732.929	-774424.141	-984934.848	
0.094	1310236.364	1306203.434	1454055.455	1541429.394	1296045.859	1297118.283	1610543.333	1548931.919	1554484.747	1588644.747	1568496.263	1584512.424	2016801.212	1568278.687	1961354.646	1561200.707	2016801.212	1557287.879	2016801.212	2016801.212	2016801.212	1600933.434	1674438.687	1526788.990	
0.102	1312012.525	1307985.253	2016801.212	2016801.212	1298315.253	1299166.061	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1925933.030	2016801.212	
0.109	1315403.636	1311637.677	1914486.465	1751246.061	1302161.010	1302907.475	1579671.212	1741171.717	1802317.273	1711792.424	1992121.818	1727548.081	2016801.212	1752978.485	2016801.212	1766241.111	2016801.212	1793310.101	2016801.212	2016801.212	2016801.212	1695578.586	-102097.374	1833495.758	
