C:\EngNCERP\eegdata\dat\vmehakfocus.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	-4307.778	-16511.111	-513050.303	-547889.192	-155116.768	-4611.414	-557822.222	-435621.515	-451188.586	-327091.818	-551802.020	-468304.141	-512496.667	-288590.101	-455290.606	-379766.970	225212.424	-490552.323	225882.121	-436123.939	226078.081	-397818.687	226602.929	-582888.384	225249.192	-484365.051	226304.343	-382874.646	225793.232	-434944.444	226417.071	-380946.162	-498433.232	-430662.424	-469381.212	-326655.657	
0.004	-13650.606	-2951.919	-1385657.677	-1574446.465	-226150.202	-5216.970	-1585816.364	-1275542.727	-1335412.020	-1063501.515	-1566687.172	-1428882.020	-1474511.717	-1078155.657	-1342186.869	-1239600.909	392447.778	-1399370.101	393273.535	-1320752.626	393438.990	-1174218.182	394070.000	-1667175.152	392438.182	-1459713.131	393725.556	-1231154.040	393168.485	-1367912.222	393885.354	-1217543.131	-1412985.859	-1347468.485	-1409108.586	-1070615.354	
0.006	1981.818	4039.697	-2004989.697	-2016509.091	-49165.960	3888.990	-2016509.091	-1927821.717	-1978053.636	-1656897.879	-2016509.091	-2016509.091	-2016509.091	-1757171.818	-1987227.677	-1927976.263	479296.869	-2016509.091	480190.000	-1978941.414	480280.808	-1802657.475	481097.273	-2016509.091	479298.990	-2016509.091	480612.323	-1915116.566	480070.303	-2013775.960	480794.141	-1896373.939	-2016509.091	-2001445.152	-2016509.091	-1684961.616	
0.008	2497.778	2567.980	-2016509.091	-2016509.091	2670.808	2961.717	-2016509.091	-2016509.091	-2016509.091	-1947744.949	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	468844.141	-2016509.091	469734.848	-2016509.091	469807.879	-2016509.091	470634.141	-2016509.091	468851.111	-2016509.091	470148.990	-2016509.091	469617.677	-2016509.091	470336.970	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1987442.626	
0.010	608.384	606.263	-2016509.091	-2016509.091	910.808	800.000	-2016509.091	-2016509.091	-2016509.091	-1936129.293	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	429884.242	-2016509.091	430753.030	-2016509.091	430871.818	-2016509.091	431650.707	-2016509.091	429893.636	-2016509.091	431168.485	-2016509.091	430664.848	-2016509.091	431374.040	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1980652.626	
0.012	-174.949	-186.970	-1782626.263	-1784468.990	-91.515	-129.293	-1790276.869	-1795347.475	-1803748.687	-1540899.495	-1728403.131	-1794382.020	-1756411.414	-1784478.586	-1788485.152	-1852625.960	272185.657	-1769936.768	272940.505	-1819042.727	273196.566	-1628596.970	273838.182	-1691210.202	272209.495	-1774582.828	273345.859	-1845164.747	272926.869	-1808543.030	273579.495	-1830677.778	-1687750.101	-1810878.283	-1718483.333	-1588656.263	
0.014	-202.121	-216.768	-969913.434	-815902.929	-209.798	-207.374	-831221.515	-1023481.212	-983332.828	-852079.192	-748208.990	-895075.455	-844575.455	-1067778.081	-957987.778	-1071102.929	92812.020	-908445.051	93366.364	-1002316.364	93686.364	-889235.354	94215.253	-618577.172	92852.121	-853172.020	93757.980	-1072786.465	93380.808	-943765.152	93923.131	-1066517.172	-813591.212	-961623.636	-823887.475	-893611.818	
0.016	-217.980	-243.434	-210095.758	-67667.172	-232.222	-216.566	-74426.162	-263964.545	-209059.394	-208559.596	-48898.889	-124523.939	-103619.192	-334925.152	-192580.404	-273937.677	43801.313	-155515.152	44244.141	-219037.576	44512.424	-209070.707	44954.040	-2682.626	43830.202	-101008.384	44639.899	-288844.949	44233.838	-160021.313	44699.697	-299341.717	-110671.414	-175508.384	-102016.869	-232910.404	
0.018	-227.576	-253.535	72919.293	79330.404	-236.263	-223.737	79525.354	66992.626	66216.566	62994.747	73183.232	71271.313	72370.505	46352.727	67844.848	61146.768	72584.646	69229.394	73065.758	66012.020	73309.495	64548.889	73710.707	73515.253	72611.313	71453.535	73491.919	57559.697	72999.091	70429.899	73520.101	54583.939	71147.576	69052.424	72451.717	60558.485	
0.020	-225.455	-1139.697	132327.475	135266.465	-4712.828	-310.808	134726.667	140708.687	126795.253	135602.727	121554.040	127428.990	123354.343	139798.788	126428.889	135102.020	142900.909	122217.273	143487.778	128649.495	143701.919	128918.990	144169.293	122844.949	142956.667	125649.798	143908.485	133661.515	143375.455	130806.667	143970.202	133994.949	121980.707	130110.202	127331.616	135708.081	
0.021	-673.838	-11690.808	-279329.293	-291148.687	-91668.182	-3045.657	-298928.889	-211821.212	-227990.707	-123307.071	-303961.313	-237215.960	-276035.253	-87320.909	-234428.283	-160736.768	210798.485	-264080.707	211445.152	-215397.677	211639.899	-195586.869	212165.152	-319917.374	210838.889	-251415.960	211863.030	-165182.525	211352.424	-207852.525	211961.818	-165458.081	-270605.253	-205517.576	-240234.242	-125844.040	
0.023	-13085.354	-4116.667	-1157019.697	-1315106.768	-233652.525	-5896.566	-1327637.071	-1052743.232	-1098428.384	-863013.434	-1312665.657	-1175817.172	-1224903.838	-860964.949	-1105770.606	-1003819.798	371763.131	-1159721.313	372561.515	-1083201.919	372721.919	-969135.253	373331.313	-1409508.586	371755.758	-1206862.222	373008.687	-998726.869	372453.333	-1118079.091	373152.020	-989489.798	-1173743.838	-1100227.374	-1160839.697	-869885.657	
0.025	-1074.343	8273.939	-1885167.071	-2016509.091	-98625.253	6555.253	-2016509.091	-1788022.626	-1858767.071	-1521268.182	-2016509.091	-1949740.505	-1970252.727	-1601160.606	-1869842.020	-1789200.808	487960.505	-1913488.283	488858.990	-1856925.556	488961.313	-1665980.101	489752.020	-2016509.091	487950.707	-1969408.687	489291.212	-1773509.899	488724.343	-1905628.788	489465.253	-1752677.273	-1920185.960	-1887213.333	-1929751.414	-1546029.798	
0.027	11561.919	11698.990	-2016509.091	-2016509.091	11241.515	12217.071	-2016509.091	-2016509.091	-2016509.091	-1896058.283	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	483806.364	-2016509.091	484707.172	-2016509.091	484759.293	-2016509.091	485610.606	-2016509.091	483815.758	-2016509.091	485120.202	-2016509.091	484580.909	-2016509.091	485303.838	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1936567.576	
