C:\EngNCERP\eegdata\dat\vfocus512.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	-608232.525	-404580.505	-1739843.232	-2016509.091	-980139.495	-592102.121	-2016509.091	-1696671.010	-2001314.848	-1388057.576	-2016509.091	-1957134.141	-1973082.828	-1735971.818	-1897901.212	-1991415.758	358878.485	-1815077.980	359730.202	-1665310.808	359942.727	-1541206.970	360605.556	-2016509.091	358874.646	-1914358.283	360577.677	360025.960	359649.495	-1926512.424	360380.808	-1698115.354	-1919734.949	-2001140.808	-1857795.556	-1527325.152	
0.004	-464559.394	-131796.869	-2016509.091	-2016509.091	-809124.545	-428123.030	-2016509.091	-2006985.051	-2016509.091	-1711591.717	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	417022.626	-2016509.091	417830.808	-2003740.101	418019.798	-1850173.535	418802.828	-2016509.091	417046.162	-2016509.091	418750.404	418205.859	417823.636	-2016509.091	418526.768	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1975288.788	
0.006	-463915.859	-95846.869	-2016509.091	-2016509.091	-779001.616	-423062.020	-2016509.091	-2016509.091	-2016509.091	-1800204.141	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	424285.960	-2016509.091	425066.061	-2016509.091	425245.657	-1909852.222	426037.778	-2016509.091	424293.636	-2016509.091	425994.444	425449.293	425067.980	-2016509.091	425778.081	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.008	-302488.081	-17429.697	-1925538.586	-1998114.343	-558690.808	-272363.535	-2016509.091	-1816717.071	-1951582.020	-1605440.606	-2016509.091	-1956323.030	-2007479.091	-2007672.626	-2016509.091	-2016509.091	371591.515	-1915703.434	372417.576	-1803940.505	372618.586	-1698211.313	373406.869	-1377752.424	371604.242	-1952195.556	373292.626	372743.535	372374.242	-1980679.091	373069.293	-1867436.061	-2016509.091	-2016509.091	-1988713.636	-2012900.404	
0.010	-50499.697	1130.303	-1208678.485	-1205898.182	-132648.889	-43395.556	-1223493.333	-1124375.455	-1080354.848	-959445.556	-1357619.293	-1131890.303	-1216192.222	-1315348.889	-1282052.121	-1508395.657	176983.232	-1157818.283	177558.990	-1079485.051	177747.778	-1022431.616	178332.626	-170604.848	176990.000	-1191432.828	178155.960	177715.253	177498.485	-1230441.717	178015.556	-1144649.192	-1428539.495	-1469374.747	-1226621.717	-1384494.343	
0.012	-284.343	-247.071	-325949.596	-258605.455	-1451.010	-254.545	-204581.111	-301695.960	-161657.980	-210313.333	-156025.354	-203168.283	-221991.212	-348562.020	-276483.838	-257898.182	13020.909	-275780.202	13086.566	-250343.939	13151.717	-230745.556	13178.687	12283.636	13020.505	-301287.778	13191.919	13115.152	13082.525	-306444.949	13149.091	-315612.525	-303178.990	-232533.434	-259321.111	-470921.414	
0.014	-237.475	-271.818	-13724.848	-4634.444	-250.707	-235.051	-1467.374	-12221.616	-636.566	-3653.131	-141.313	-1633.737	-2167.475	-11793.232	-5361.919	-591.111	-166.061	-7260.909	-173.232	-6074.444	-131.717	-5198.485	-198.990	-173.737	-168.485	-10667.677	-151.212	-160.101	-172.525	-9753.838	-174.242	-13957.374	-4149.798	-353.131	-4494.545	-34665.253	
0.016	-238.889	-278.384	-193.737	-1006.768	-255.758	-238.384	-358.586	-464.848	-153.838	-196.566	-140.606	-201.616	-128.788	-170.909	-165.859	-155.455	-166.566	-504.545	-173.535	-288.182	-131.212	-128.283	-200.202	-51104.343	-167.778	-1130.606	-152.121	-160.808	-173.232	-543.030	-174.444	-333.434	-156.263	-119.899	-157.172	-152.828	
0.018	-9301.212	-6547.576	-58731.414	-125132.222	-23478.081	-7379.394	-88452.323	-81143.030	-68492.525	-23490.101	-4207.071	-70562.121	-55867.172	-36510.303	-43472.222	491.616	11331.616	-89591.818	11393.131	-69721.010	11469.394	-46302.727	11420.808	-611211.111	11331.111	-119060.808	11495.859	11409.293	11388.384	-100278.990	11462.222	-75120.909	-14184.747	-1457.475	-41063.636	-23026.061	
0.020	-178648.990	-120047.677	-614984.242	-860757.778	-339162.727	-161722.424	-834731.414	-654442.020	-741520.909	-405967.677	-567162.121	-714408.889	-683104.747	-526826.869	-612310.707	-437192.222	156665.253	-692869.899	157184.747	-611095.253	157398.990	-523592.020	157605.455	-1764810.707	156654.949	-785371.818	157708.384	157246.768	157124.646	-754445.758	157639.596	-629797.980	-486377.778	-468536.364	-585208.081	-419790.909	
0.021	-281454.242	-79013.030	-1484862.828	-1817178.586	-606590.303	-254086.364	-1897074.444	-1464514.747	-1777627.576	-1144205.152	-1879008.586	-1720260.707	-1737340.606	-1458317.374	-1640620.808	-1747189.495	364610.404	-1567658.182	365451.818	-1425091.414	365641.515	-1310003.939	366244.949	-2016509.091	364579.192	-1684703.737	366221.616	365668.889	365329.495	-1682939.091	366069.495	-1446820.303	-1643354.242	-1774074.343	-1591095.859	-1251268.889	
0.023	-198926.162	13717.172	-1959016.768	-2016509.091	-538107.374	-151669.899	-2016509.091	-1902786.970	-2016509.091	-1589832.828	-2016509.091	-2016509.091	-2016509.091	-2001174.949	-2016509.091	-2016509.091	456431.313	-2016509.091	457293.434	-1894782.020	457450.404	-1749835.657	458242.727	-2016509.091	456444.343	-2016509.091	458174.040	457633.333	457225.354	-2016509.091	457929.293	-1937609.495	-2016509.091	-2016509.091	-2016509.091	-1835039.899	
0.025	-47804.040	32057.071	-2016509.091	-2016509.091	-335590.505	-6453.636	-2016509.091	-2016509.091	-2016509.091	-1733310.303	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	472142.424	-2016509.091	472944.242	-2016509.091	473104.040	-1869249.192	473929.596	-2016509.091	472149.697	-2016509.091	473860.606	473322.828	472915.556	-2016509.091	473611.313	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.027	38838.889	42317.576	-1966401.010	-2016509.091	-136792.525	42802.727	-2016509.091	-1866680.707	-2016509.091	-1627501.919	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	436580.707	-1995797.879	437442.323	-1866669.899	437605.253	-1744705.455	438403.939	-1686994.545	436597.980	-2016509.091	438318.081	437776.667	437377.172	-2016509.091	438076.970	-1920463.636	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
