C:\EngNCERP\eegdata\dat\vwajid512.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	3601.414	3628.586	-1835406.465	-1831616.263	3875.253	3837.273	-1865030.101	-1832755.051	-1715817.778	-1761464.242	-1805527.172	-1767860.707	-1773228.182	-1755098.384	-1821883.535	-1799158.182	295585.657	-1756493.636	296787.879	296610.000	296860.707	296872.222	297501.919	297314.646	162178.687	188559.394	190247.071	197744.040	-1136483.939	-7761.111	190931.515	84328.889	-1717296.970	-1778493.939	-1728937.374	-1829829.091	
0.004	-204.545	-221.818	-870343.131	-769981.212	-210.101	-196.162	-850743.939	-786367.576	-622163.030	-697057.980	-766626.364	-711090.606	-703594.848	-693867.071	-848631.313	-783326.263	54731.313	-686825.455	55483.232	55231.313	55685.657	55647.980	56078.081	55835.960	-216161.212	-188079.596	-188535.354	-179481.818	-1131445.556	-339976.667	-187470.909	-281541.010	-672194.444	-758301.919	-684051.919	-852947.778	
0.006	-225.960	-252.121	-102452.727	-53278.788	-238.687	-219.697	-77553.333	-59144.848	-26969.192	-40950.101	-55374.141	-44488.889	-40398.889	-40844.848	-88952.121	-64288.283	8245.354	-38883.131	8499.394	8332.626	8690.303	8651.414	8876.869	8724.646	-246697.576	-223886.364	-225745.354	-218228.687	-1129476.566	-348637.273	-223854.141	-298342.323	-39629.798	-59521.818	-41304.040	-88437.879	
0.008	-228.788	-258.586	18518.485	18578.586	-242.727	-228.586	18761.313	18930.101	16706.364	16618.384	17144.646	16589.293	17153.232	17297.071	16924.141	17529.495	16716.667	16263.333	17016.667	16807.576	17243.939	17193.838	17502.121	17297.778	-246732.424	-223900.000	-226186.263	-218658.485	-1129255.455	-348959.697	-224089.697	-298314.444	16582.525	16611.616	17190.303	16724.646	
0.010	-1388.990	-255.758	22352.929	26656.667	-4149.596	-1117.576	28934.949	26918.182	17672.525	21271.414	26459.091	21315.152	24346.364	20864.343	25556.869	24870.505	39280.505	21304.343	39730.808	39465.152	39989.495	39939.192	40358.283	40098.384	-245746.263	-221446.263	-223789.192	-215787.879	-1129075.152	-349245.455	-221863.333	-298788.788	23392.929	21963.232	25055.354	27113.636	
0.012	-55985.455	-250.202	-342523.838	-334729.192	-112190.707	-46679.899	-307443.535	-332586.667	-386395.657	-344330.000	-295907.980	-338843.737	-325049.091	-352643.636	-285272.020	-307777.273	163511.919	-340040.404	164200.000	163978.788	164393.030	164368.485	164886.162	164653.434	-94469.394	-45262.727	-47351.414	-33348.788	-1131291.919	-313420.202	-43628.283	-215229.394	-317034.040	-323116.465	-308408.990	-270432.626	
0.014	-113091.515	5228.788	-1319848.990	-1409771.111	-223058.889	-93371.414	-1349837.980	-1396180.404	-1477492.929	-1404027.172	-1335855.354	-1388388.384	-1394289.091	-1408600.808	-1258033.434	-1318712.626	387096.667	-1401263.232	388205.354	388057.071	388251.313	388276.263	388955.455	388785.253	344073.232	361708.081	362564.141	366272.828	-1135628.586	133581.616	363782.727	261021.010	-1351184.242	-1336333.737	-1340451.616	-1248016.667	
0.016	12115.556	30508.687	-2016509.091	-2016509.091	-13648.384	16298.182	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2015409.091	-2016509.091	511477.879	-2016509.091	512772.424	512657.980	512725.556	512782.525	513536.869	513388.081	511933.131	511557.677	513187.879	512655.859	-1139261.010	504102.222	513235.152	512427.475	-2016509.091	-2016509.091	-2016509.091	-2013692.323	
0.018	29024.444	29171.010	-2016509.091	-2016509.091	29980.505	29876.869	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	494896.162	-2016509.091	496183.838	496063.838	496144.646	496200.404	496943.030	496793.737	495357.778	494974.343	496598.081	496064.141	-1140158.687	495874.646	496650.202	496813.939	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.020	22110.404	22225.051	-2016509.091	-2016509.091	23030.909	22897.677	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	470577.879	-2016509.091	471860.000	471732.121	471835.455	471885.657	472615.556	472464.848	470939.697	470635.354	472255.455	471728.283	-1139893.535	464593.737	472311.212	470907.273	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
