C:\EngNCERP\eegdata\dat\vahmedssvep.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	-7221.414	3860.101	-1039854.242	-1202015.152	774.242	9044.646	-1133261.515	-1014968.788	-1016315.051	-536107.677	-1080473.838	-1308213.434	-1223143.030	-837497.677	-935891.919	-1128032.525	-1218467.172	-1194953.535	-966519.394	-856678.788	-700757.071	-919957.273	-1395052.121	-1212549.192	-1294487.071	-1145810.101	-986678.990	-921170.606	-978996.667	-934204.848	-798977.778	-720796.667	-1041296.162	-981517.273	-1106001.919	-883389.596	
0.004	11014.545	11339.293	-1941454.545	-2016509.091	11728.283	11806.667	-2016509.091	-2014204.848	-1960510.101	-1734775.556	-1991895.152	-2016509.091	-2016509.091	-1938035.455	-1954809.697	-2016509.091	-2016509.091	-2016509.091	-1905597.071	-1870692.828	-1775583.636	-1899214.545	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1986724.040	-1922400.101	-1973668.182	-1952809.293	-1892337.071	-1830682.323	-1989060.505	-1974642.020	-2016509.091	-1929810.101	
0.006	57965.657	58203.939	-2016509.091	-2016509.091	58850.404	58814.040	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.008	86906.263	87144.545	-2016509.091	-2016509.091	87726.768	87743.131	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.010	14313.838	14354.242	-1990263.939	-1975593.535	14507.374	14518.384	-1997378.485	-2016509.091	-1983557.677	-2016509.091	-1973578.788	-1920387.374	-1945448.384	-2016509.091	-2006733.131	-1979880.909	-1923418.182	-1942544.242	-1982849.899	-2006193.838	-2009867.778	-1993567.576	-1873407.172	-1943455.354	-1909417.071	-1971628.384	-2004254.040	-2002891.010	-1999382.222	-2002857.576	-2016509.091	-2016509.091	-1946236.162	-1991241.212	-1943875.657	-2010511.515	
0.012	-195.354	-213.232	-1223423.131	-1065611.616	-217.071	-196.869	-1143328.687	-1202279.596	-1171932.222	-1430107.374	-1127850.303	-898070.404	-987484.545	-1270844.242	-1224028.283	-1060997.778	-999012.727	-1020186.263	-1226075.758	-1294830.808	-1332914.242	-1248241.515	-813324.343	-1003906.566	-921445.354	-1060290.707	-1177454.040	-1250367.677	-1188281.313	-1215930.909	-1307072.222	-1357732.828	-1071965.960	-1164739.596	-1021750.606	-1253915.556	
0.014	-212.222	-233.636	-230908.485	-85873.737	-227.172	-215.859	-124706.162	-140521.919	-160766.768	-396901.515	-129016.869	-28489.798	-56084.545	-198147.172	-181817.071	-74996.869	-73328.283	-76029.899	-229485.859	-276217.273	-342958.889	-239495.253	-9715.152	-65083.131	-41249.192	-80495.152	-134274.949	-218573.131	-152073.030	-175223.030	-251433.535	-325633.535	-102507.475	-139229.192	-72106.970	-206994.545	
0.016	-219.394	-244.646	94529.899	100076.263	-232.222	-222.525	100025.859	100198.485	90798.182	69767.374	92245.657	92113.838	92738.182	90961.616	90718.081	93315.455	92070.808	91492.727	87873.838	84691.414	75231.515	87277.475	93337.778	93030.303	92164.848	91602.323	92689.192	88984.040	91737.172	91200.808	87975.556	80725.455	91813.333	91499.394	92821.919	89628.384	
0.018	-221.818	-248.283	130755.253	130639.798	-235.051	-219.899	130894.444	131153.131	120181.818	120116.667	120865.758	120186.061	120860.202	121114.747	120777.273	121503.232	120058.182	119611.313	120769.798	120535.455	120990.303	120955.152	120954.949	121169.596	120071.919	119757.475	121216.970	120597.677	120679.697	120805.152	121262.626	121177.778	120089.899	120167.576	120991.010	120451.515	
0.020	-224.949	-243.030	149444.444	103922.323	-231.919	-217.778	143147.778	207067.172	165752.727	242497.172	136110.909	34277.273	78107.677	216361.414	196193.737	152843.838	35623.030	71579.293	165995.354	202238.182	224326.768	188461.616	-26484.747	72623.333	14673.939	130436.263	190444.949	194771.515	187687.475	197251.010	219542.222	224380.101	165973.939	186513.131	152610.404	205815.152	
