C:\EngNCERP\eegdata\dat\vhassanssvep.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	-122.121	-134.848	-1680193.232	-1782110.606	-100.202	-96.869	-1847646.667	-1823038.485	-1664745.354	-1535198.081	-1809964.343	-1798125.859	-1741290.202	-1794385.657	-1747113.535	-1795352.121	-1675626.970	-2016509.091	-1581179.495	-1976821.515	-1654179.596	-1775965.859	-1660511.616	-1705280.404	-1695653.636	-1641113.131	-1670109.495	-1765918.182	-1824627.980	-1745722.626	-1617165.354	-1818250.808	-1711920.606	-1787568.081	-1709983.434	-1774108.081	
0.004	-205.455	-224.949	-911818.586	-873642.424	-217.980	-208.182	-1001257.071	-1061988.182	-931059.394	-856447.576	-940751.212	-949289.697	-833311.313	-900005.859	-871970.000	-926837.879	-695946.566	-1208675.758	-843416.465	-1081304.242	-857244.545	-1019012.626	-622600.505	-663824.747	-663134.141	-608080.808	-631129.798	-872784.242	-915081.818	-828612.828	-877699.495	-1002882.424	-855589.798	-960170.808	-854294.242	-985699.596	
0.006	-214.141	-243.030	-182345.960	-97995.152	-230.505	-215.152	-172464.848	-275564.545	-219235.960	-202046.061	-140206.970	-153803.030	-89497.374	-112418.384	-117219.293	-135216.162	-34459.192	-169861.717	-154711.717	-123721.515	-149019.192	-250985.657	-9836.768	-15968.283	-17927.576	-9305.051	-11227.778	-106892.222	-108590.202	-84759.899	-177930.404	-199788.485	-116020.101	-176357.475	-115222.727	-215346.162	
0.008	-220.606	-252.121	32143.636	36864.444	-237.677	-224.444	34552.525	21891.414	22487.778	23067.677	32954.747	31729.697	34160.909	34126.061	33353.838	33731.313	33954.646	32693.939	31058.687	33948.889	31866.970	22196.263	35017.879	34776.364	33984.949	33404.343	34834.747	33658.182	33885.354	34200.101	29019.394	29720.101	32742.222	30122.626	33603.131	26586.465	
0.010	-221.313	-3227.374	66872.424	66711.818	-686.566	-657.475	73317.879	74224.949	71224.444	70311.919	66747.879	62664.141	59380.505	65594.242	57217.778	65473.737	57060.808	71397.778	70989.293	72239.899	64903.232	72384.646	57519.293	63624.040	61835.455	46826.364	59162.424	62706.263	69481.010	61204.141	70623.737	66706.263	62496.566	62055.253	62696.566	66272.424	
0.012	16726.061	-113867.576	-217154.242	-246527.071	-68283.636	-61112.828	-158559.899	-131237.273	-13792.929	-39696.162	-162298.687	-202095.657	-254138.990	-187679.798	-261311.919	-189357.071	-286150.202	199649.495	-45337.778	135127.677	-178545.152	15591.616	-307551.717	-240769.697	-251555.152	-356779.798	-293152.929	-216280.202	-116662.525	-238753.838	-73490.505	-159977.778	-204656.162	-205923.333	-210652.828	-150088.081	
0.014	167726.768	-78638.990	-1112588.687	-1286887.172	-45628.384	-23057.576	-1157308.889	-1046032.626	-864917.677	-852884.545	-1141444.848	-1157111.010	-1264179.293	-1192195.859	-1235550.101	-1169098.788	-1359427.879	-491340.404	-900612.222	-775501.313	-1077003.838	-853862.020	-1438582.121	-1374200.909	-1376404.040	-1463178.081	-1427738.687	-1210054.949	-1138994.949	-1256861.212	-931883.434	-1090914.141	-1160980.303	-1142686.768	-1165718.687	-1043472.020	
0.016	211321.111	190389.394	-1842435.253	-2016509.091	191063.737	194197.879	-1955780.404	-1828582.121	-1640919.596	-1563397.778	-1949377.980	-1943077.273	-2000635.960	-1976264.040	-1979664.141	-1954914.949	-2016509.091	-1849031.919	-1670523.939	-1932797.071	-1838081.212	-1707626.263	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1974953.636	-1969850.606	-2000437.374	-1680559.899	-1893829.293	-1939060.303	-1922019.798	-1941912.020	-1833734.545	
0.018	158210.303	158556.970	-2016509.091	-2016509.091	159210.909	159271.515	-2016509.091	-2016509.091	-2007733.434	-1895397.374	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.020	78512.828	78759.697	-2016509.091	-2016509.091	79478.485	79444.343	-2016509.091	-2016509.091	-2016509.091	-1924730.303	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
