C:\EngNCERP\eegdata\dat\vibtehajssvep.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	72276.970	72539.192	-1669180.101	-2016509.091	73114.242	73101.313	-1829088.485	-1903505.051	-1622028.182	-1725380.303	-1913219.091	-2016509.091	-2016509.091	-2016509.091	-1867099.899	-2016509.091	-1821466.970	-1821524.343	-1659413.939	-1778545.657	-1434250.000	-1588782.020	-2016509.091	-2002720.000	-1934147.677	-2016509.091	-1882686.768	-2005822.727	-1836693.838	-1987215.657	-1570388.687	-1818765.253	-1854775.657	-1973594.141	-1906728.182	-1917380.404	
0.004	79849.394	80032.626	-1989409.091	-2016509.091	80774.949	80753.838	-2016509.091	-2016509.091	-1997708.586	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2002409.394	-2016509.091	-1783818.687	-1956342.222	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1975457.778	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.006	150111.414	150298.384	-2016509.091	-2016509.091	151121.111	151116.263	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1858047.273	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.008	56115.556	56237.879	-1640286.162	-1836476.263	56752.424	56705.051	-1806603.434	-1909706.970	-1686307.879	-1891426.465	-1869560.505	-1763243.232	-1804844.949	-1814892.828	-1914337.677	-1803993.434	-1799570.404	-2016509.091	-1625040.707	-1823378.384	-1536278.990	-1681251.010	-1765926.162	-1826223.535	-1863957.374	-1826781.313	-1916187.778	-1777229.899	-1886324.848	-1824855.657	-1738163.838	-1890091.010	-1855390.101	-1833071.010	-1809728.990	-1865366.162	
0.010	1065.455	1062.020	-953505.657	-958046.667	1121.919	1106.263	-1073237.172	-1155232.323	-981525.455	-1188947.778	-1080856.566	-817870.404	-904103.333	-896714.747	-1164460.202	-873863.434	-1043841.313	-1404468.788	-907004.747	-1088905.556	-886099.495	-1004981.919	-820574.747	-949522.626	-1055025.657	-905785.960	-1154847.172	-894527.273	-1144760.101	-955137.475	-1060991.515	-1160084.646	-1087547.778	-985164.444	-1006820.808	-1062906.364	
0.012	-216.364	-242.020	-242343.333	-141637.172	-224.949	-214.646	-277275.960	-288087.677	-251730.909	-358761.212	-234930.202	-80110.505	-117732.525	-106102.020	-290378.283	-97318.889	-251290.505	-316298.384	-208536.970	-289548.081	-226124.242	-277970.000	-79981.212	-139938.182	-208906.768	-107449.293	-273339.798	-126174.343	-304221.414	-145359.495	-317006.061	-322442.828	-247258.687	-166321.818	-197458.182	-219954.949	
0.014	-226.162	-255.455	10757.273	18254.040	-239.394	-223.737	9769.293	10777.475	8462.222	-2194.141	13008.687	16952.323	17231.111	17594.141	8750.404	17910.101	9995.253	12130.505	12155.758	5837.879	9752.626	5097.677	18022.525	17073.232	14261.919	16470.707	11139.596	16719.798	5707.374	16689.495	396.364	3225.455	11587.172	15606.263	14887.677	13436.364	
0.016	-446.667	-257.677	54613.535	47278.081	-245.859	-829.798	54308.889	56319.192	54017.273	54275.051	49918.687	31041.111	42568.990	44727.374	53441.313	44465.556	51189.697	54446.869	52700.606	53346.061	55640.505	55418.182	36493.535	46433.030	49693.434	46128.485	54066.364	32228.990	52276.263	46246.263	55740.303	53101.111	53347.273	45686.566	50723.737	49803.030	
0.018	-8205.152	7121.212	-107296.566	-231254.444	3055.758	-19986.465	-125752.424	-103364.545	20087.172	33247.576	-132311.818	-314811.212	-234571.313	-219403.232	-44988.889	-225986.465	-92068.889	252642.727	-51781.313	-32385.051	183331.616	91152.525	-290829.697	-195824.949	-131142.020	-192016.162	-41842.020	-294302.323	-76948.990	-191921.010	108407.475	-64114.747	-28194.545	-187966.566	-120470.505	-128647.879	
0.020	74315.051	89242.525	-885154.646	-1201581.212	84471.414	65035.455	-962420.808	-992698.485	-746145.657	-764772.323	-1010834.848	-1290286.465	-1196265.455	-1202790.909	-911007.273	-1214751.313	-923442.626	-166883.434	-829264.343	-856418.485	-395732.929	-643957.778	-1280051.717	-1151572.424	-1029309.899	-1189467.778	-919311.010	-1202200.303	-919052.424	-1128198.889	-596472.727	-897775.152	-890496.970	-1108475.657	-998247.980	-1011044.242	
