C:\EngNCERP\eegdata\dat\viqrassvep.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	9093.939	9201.414	-2016509.091	-2016509.091	9725.253	9640.404	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.004	725.758	720.404	-1709932.929	-1744449.192	805.556	801.919	-1810431.919	-1871128.586	-1656964.242	-1849701.414	-1767502.222	-1781927.172	-1780038.788	-1771261.212	-1789522.323	-1784566.869	-1790817.374	-1641346.566	-1788896.970	-1698287.778	-1799390.101	-1672372.626	-1652642.020	-1646043.838	-1760766.061	-1638147.576	-1747186.364	-1789727.071	-1775450.707	-1774818.182	-1900006.667	-1837960.808	-1791126.263	-1825582.121	-1738897.273	-1827588.384	
0.006	-202.121	-227.374	-940506.970	-846291.414	-207.172	-196.566	-990445.455	-1014045.657	-915510.000	-1007824.949	-933571.818	-910627.879	-837722.929	-814211.212	-864606.162	-784928.788	-946525.253	-600959.091	-993367.980	-938102.020	-953516.970	-947446.263	-657781.010	-639471.616	-817624.949	-574964.444	-763053.434	-912189.596	-858439.091	-838170.606	-1144411.515	-1010735.758	-935247.677	-1011163.636	-856852.626	-917680.404	
0.008	-221.616	-248.485	-194630.303	-113034.343	-231.717	-218.990	-190190.101	-170022.323	-193935.051	-178375.657	-162169.091	-141278.182	-93446.667	-84395.455	-105255.051	-67105.152	-163265.051	-30700.505	-213140.303	-197747.475	-170387.778	-221370.707	-46400.808	-41330.404	-89364.343	-24135.051	-67960.707	-136187.879	-107155.051	-95612.222	-292284.444	-192496.061	-147371.919	-205058.788	-115042.929	-121182.626	
0.010	-233.333	-263.434	-1043.030	1634.747	-248.283	-231.414	-233.838	1020.000	-1813.838	319.899	584.646	1021.919	1787.071	1779.697	1660.909	1865.960	603.333	1595.556	-2110.909	-1540.707	355.556	-4171.717	1828.687	1818.081	1682.525	1592.424	1862.323	1299.091	1645.960	1761.414	-8674.646	-319.495	1075.960	-1414.444	1606.768	1541.212	
0.012	-232.626	-461.313	53449.192	28597.980	-244.949	-228.081	50650.404	62993.232	60838.081	57181.010	47279.293	39737.273	46223.636	44753.838	46675.152	51412.727	43761.616	23116.768	50919.697	57312.525	50677.576	62007.576	18287.273	18103.838	42828.384	24068.283	41247.778	44442.222	44144.343	45675.253	62910.303	54847.172	58586.162	52045.455	51005.960	56324.444	
0.014	292.525	-3150.000	-187228.081	-374381.212	389.394	382.626	-226259.394	-105980.202	17402.121	-100391.717	-209881.313	-270954.040	-242928.687	-259042.525	-234910.808	-211852.929	-238456.263	-415582.121	-169342.020	-78298.586	-187921.616	42246.869	-423328.687	-429054.141	-266417.172	-420803.939	-293010.202	-240786.465	-253351.212	-245368.586	68279.293	-138305.152	-75963.535	-158225.758	-186228.485	-127478.283	
0.016	4403.939	2959.091	-1053158.182	-1324225.960	4958.081	4906.566	-1147566.263	-1123619.394	-838683.333	-1064509.293	-1117352.525	-1202846.263	-1256202.727	-1280181.616	-1233409.495	-1292045.758	-1152143.333	-1486302.121	-1046268.182	-953327.778	-1115950.303	-816584.242	-1444458.283	-1464219.495	-1272545.152	-1518819.596	-1332587.475	-1184812.828	-1234520.202	-1249352.929	-836638.788	-1077718.283	-1051217.677	-1075532.828	-1151324.747	-1149235.657	
0.018	3938.283	4101.717	-1828644.646	-2016509.091	4507.273	4450.808	-1936756.566	-1970131.111	-1677742.121	-1920032.828	-1918236.263	-1970673.434	-2012511.919	-2016509.091	-2001906.465	-2016509.091	-1937986.162	-2016509.091	-1847751.717	-1762430.707	-1917709.293	-1663277.980	-2016509.091	-2016509.091	-2014995.758	-2016509.091	-2016509.091	-1967373.939	-1996403.636	-2007865.657	-1790173.030	-1910500.303	-1918578.182	-1895941.919	-1958921.818	-1979060.404	
0.020	261.010	358.586	-2016509.091	-2016509.091	678.889	583.636	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.021	-200.404	-188.384	-2016509.091	-2016509.091	-32.626	-82.626	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.023	-197.778	-211.313	-1802803.636	-1845668.182	-192.020	-180.000	-1898664.949	-1952731.414	-1746708.283	-1930689.495	-1856773.636	-1873002.828	-1874255.859	-1868686.162	-1881907.374	-1882724.242	-1878739.798	-1760212.020	-1876402.626	-1786413.131	-1888107.879	-1757343.030	-1767179.091	-1760043.939	-1856941.717	-1758472.929	-1849324.949	-1880586.162	-1869866.465	-1870087.677	-1970372.222	-1919701.313	-1878982.424	-1907633.939	-1833441.717	-1914291.010	
0.025	-196.869	-222.121	-1080689.495	-990970.404	-212.727	-206.465	-1137176.465	-1169394.747	-1051940.303	-1164166.465	-1075481.111	-1056852.424	-985431.515	-963113.838	-1013510.000	-935925.354	-1092976.263	-710865.354	-1142540.202	-1073996.869	-1112928.586	-1080154.343	-784305.152	-755831.010	-961593.535	-676850.303	-906440.808	-1061525.960	-1007080.202	-986573.737	-1298308.283	-1163042.525	-1082347.576	-1160449.091	-998696.768	-1073971.111	
