C:\EngNCERP\eegdata\dat\vmehakssvep.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	-183.838	-216.768	189515.051	198424.848	-212.929	-209.293	135483.030	208546.667	200178.586	217781.212	127492.424	103407.071	103961.717	133295.859	123403.434	186920.808	136310.707	160619.697	172292.727	128194.444	234792.222	119656.465	-69451.212	57814.444	155220.909	117054.848	173042.828	167592.828	165118.788	136718.687	155151.414	203563.535	174477.273	166181.414	110538.687	176429.798	
0.004	-179.293	-216.364	-600852.424	-634856.768	-214.646	-199.293	-758772.323	-581075.253	-596409.697	-502639.596	-744364.747	-787138.788	-796480.404	-689452.323	-688246.970	-619522.626	-719958.687	-648376.162	-596328.889	-649370.707	-467988.283	-646820.000	-1088401.414	-887836.162	-683333.333	-743795.859	-664306.263	-646347.374	-700411.616	-724087.071	-623853.535	-551412.323	-653377.576	-638432.828	-773320.404	-593129.899	
0.006	-181.010	-214.848	-1206285.657	-1332631.212	-204.545	-198.990	-1492857.677	-1210741.313	-1276253.636	-1069501.818	-1472006.970	-1530690.808	-1555502.121	-1334944.141	-1314581.717	-1288980.606	-1422793.333	-1299574.747	-1180417.778	-1217773.838	-1017093.232	-1202383.737	-1871456.768	-1679436.465	-1382521.313	-1448535.354	-1379803.535	-1308893.737	-1462484.747	-1438943.232	-1219417.778	-1157232.727	-1361906.465	-1285811.111	-1506328.182	-1189021.111	
0.008	-142.727	-155.253	-1575111.717	-1763484.141	-156.667	-210.101	-1962354.747	-1593690.808	-1715557.172	-1433046.364	-1962676.162	-2016509.091	-2016509.091	-1765415.556	-1735899.697	-1719758.182	-1887993.737	-1724495.354	-1556281.515	-1599893.737	-1346382.626	-1579175.960	-2016509.091	-2016509.091	-1847375.051	-1924883.232	-1860272.929	-1746126.970	-1976106.869	-1912459.091	-1620373.030	-1552813.939	-1841884.242	-1710238.990	-1995417.071	-1579651.414	
0.010	69.192	57.677	-1632067.980	-1827986.465	28.283	-77.071	-2016509.091	-1661197.677	-1797004.848	-1523239.899	-2016509.091	-2016509.091	-2016509.091	-1834953.838	-1812946.061	-1785506.566	-1954198.283	-1788200.808	-1621529.394	-1674371.818	-1404938.283	-1654873.939	-2016509.091	-2016509.091	-1928032.222	-1997415.253	-1957779.394	-1823793.535	-2016509.091	-1978442.121	-1707951.212	-1643963.434	-1945790.404	-1782515.960	-2016509.091	-1658161.212	
0.012	-8.586	-42.222	-1328989.899	-1472337.273	-103.333	-6.667	-1643794.848	-1362755.354	-1456542.222	-1276568.586	-1644753.333	-1682777.374	-1737772.929	-1479912.121	-1487223.333	-1423330.202	-1555571.111	-1430786.566	-1317875.455	-1379440.808	-1138191.515	-1372306.061	-1774917.475	-1841519.495	-1559512.828	-1600424.545	-1598434.040	-1473231.515	-1706882.222	-1573102.121	-1418427.172	-1364396.566	-1600323.131	-1439900.303	-1660438.081	-1360793.131	
0.014	-180.505	-205.960	-804727.071	-857721.212	-204.040	-182.222	-977502.828	-835164.343	-853268.182	-817447.273	-960389.394	-973057.980	-1028178.283	-877704.343	-915491.717	-804503.737	-884441.414	-827178.889	-792240.707	-865492.020	-661384.141	-874807.172	-879587.374	-1113371.919	-919274.949	-931770.909	-956368.889	-868036.263	-1023406.970	-890647.172	-896287.071	-854908.485	-975088.687	-850994.444	-963177.778	-837344.343	
0.016	-195.657	-217.071	-71574.040	-53836.970	-218.990	-204.545	-127398.687	-94992.222	-69828.182	-152512.727	-116226.364	-110896.667	-151335.758	-102270.000	-159181.616	-20244.848	-61955.455	-55499.192	-74710.606	-165086.364	21728.586	-196607.879	86252.323	-191558.687	-108976.768	-106654.747	-134723.535	-86893.737	-161358.687	-58390.202	-183684.747	-145066.465	-166521.111	-85533.333	-111917.374	-119827.172	
0.018	-190.303	-222.121	331138.283	333934.848	-222.323	-209.293	328052.222	329244.848	317513.333	303942.525	315002.121	315250.707	311754.747	315111.010	307236.566	322747.879	318675.960	317912.424	316312.525	303763.434	323577.273	296938.889	328222.929	308677.273	314225.152	314304.444	312784.343	316305.354	310253.636	319714.242	301808.283	308147.677	307302.222	315640.606	315482.424	311063.535	
0.020	-182.424	-212.424	384689.899	384589.192	-217.475	-205.051	384740.707	385001.515	370964.545	370860.909	371838.687	371172.727	371516.768	372026.465	371619.394	372391.616	370891.919	370329.697	371601.818	371443.232	371667.273	371721.616	372025.455	372143.535	370886.667	370491.919	372010.505	371455.253	371430.909	371492.929	372062.727	372205.960	370708.990	370948.485	371754.545	371361.010	
