C:\EngNCERP\eegdata\dat\vmehakssvep2.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.002	-169.697	-175.960	-1761550.101	-1973778.081	-189.394	-179.798	-2016509.091	-1762399.192	-1957568.788	-1606689.192	-2016509.091	-2016509.091	-2016509.091	-1997382.323	-1942466.566	-1983416.061	-2016509.091	-1969063.939	-1712821.313	-1733082.626	-1511105.051	-1746703.939	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1972165.152	-2016509.091	-2016509.091	-1823601.515	-1751302.121	-2016509.091	-1938047.778	-2016509.091	-1772310.101	
0.004	-136.970	-202.121	-1834684.141	-2016509.091	-183.636	-192.525	-2016509.091	-1848843.636	-2016509.091	-1702645.051	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2013745.657	-2016509.091	-2016509.091	-2016509.091	-1786212.626	-1815295.253	-1572055.657	-1825988.889	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1916751.515	-1849374.040	-2016509.091	-2016509.091	-2016509.091	-1859102.424	
0.006	-106.667	-200.909	-1519508.586	-1694008.081	-186.061	-182.222	-1822353.535	-1543906.263	-1687864.747	-1450077.071	-1853452.424	-1875598.990	-1884515.556	-1707019.697	-1672225.556	-1675413.737	-1780737.475	-1662510.303	-1473381.313	-1511185.354	-1291187.980	-1530493.636	-1778255.253	-1856804.141	-1781525.455	-1827689.495	-1808734.646	-1693869.091	-1900856.566	-1819307.879	-1615934.444	-1558926.667	-1812321.010	-1662854.848	-1818581.818	-1552725.051	
0.008	-160.808	-176.869	-922885.354	-1009749.596	-200.909	-190.606	-1123269.596	-953878.990	-1004138.081	-940324.242	-1131775.556	-1129684.747	-1142269.192	-1027712.323	-1026103.838	-974235.253	-1056360.808	-968767.677	-873574.444	-927160.505	-721345.758	-961097.576	-709049.596	-1028787.475	-1074727.677	-1107416.364	-1116722.727	-1019696.364	-1203589.596	-1083634.242	-1030396.768	-987189.394	-1125053.434	-996756.263	-1057967.677	-968651.616	
0.010	-180.000	-192.020	37792.424	19780.606	-209.798	-193.030	-47557.677	7223.838	29848.081	-40317.677	-36420.404	-10254.848	-15593.535	-2968.687	-16397.677	61207.778	10388.283	57653.939	88013.333	27606.768	202696.162	-13296.263	351628.889	132319.495	-13140.909	-28406.364	-51449.798	2900.404	-98243.030	2441.717	-71968.990	-34791.919	-61691.010	16320.000	49588.384	-11435.960	
0.012	-181.212	-193.232	485394.747	485003.535	-209.091	-188.687	480912.828	483707.374	484791.313	475955.960	481840.101	483383.737	483316.465	483422.222	481925.253	488124.949	483742.626	485746.162	488085.556	484188.586	492417.677	481117.475	494338.283	492300.101	482049.495	480849.394	480270.505	483277.475	475581.414	483968.687	474915.253	479505.051	477900.101	483579.192	487647.273	481155.455	
0.014	-180.505	-193.030	482452.929	482380.505	-204.343	-197.778	482527.374	482788.283	479704.343	479546.364	480653.939	479989.697	480196.465	480798.889	480364.949	481189.091	479624.545	479035.556	480394.848	480253.636	480337.778	480483.232	481063.838	480950.101	479557.273	479254.040	480772.424	480212.323	480119.798	480181.515	480760.909	480990.000	479343.030	479683.434	480506.869	480136.566	
0.016	-181.717	-187.475	430304.242	424469.798	-202.828	-203.838	404282.424	435856.566	431893.232	444574.343	398706.970	377903.838	386601.919	411040.202	410852.121	423476.263	406912.424	421306.162	439792.929	437586.768	460442.020	429275.556	278596.465	358773.434	413761.515	391138.283	423123.535	420920.000	417368.788	393087.778	422553.131	438421.919	426631.111	425606.263	396949.596	431139.899	
0.018	-181.212	-189.192	-354164.141	-405510.101	-205.758	-191.313	-494572.121	-333828.384	-368377.576	-261511.010	-514472.121	-583315.354	-564058.283	-446223.535	-437814.949	-407166.263	-475834.848	-406669.394	-306119.899	-316809.495	-176643.535	-350024.848	-885753.737	-659554.949	-451042.222	-526062.626	-419950.707	-409974.444	-456337.071	-525893.232	-382572.020	-315429.798	-402390.404	-388467.879	-526310.808	-344486.667	
0.020	-183.838	-186.970	-1198362.727	-1329214.646	-206.970	-189.394	-1454127.879	-1188900.909	-1295203.434	-1068135.859	-1482245.556	-1554194.141	-1552993.535	-1346983.131	-1320412.222	-1323909.192	-1423148.384	-1318176.465	-1148846.667	-1160421.414	-997561.111	-1181266.162	-1845150.606	-1653762.525	-1402020.303	-1470873.939	-1378152.727	-1317206.465	-1458080.303	-1476930.909	-1230370.808	-1163055.051	-1367440.505	-1292257.778	-1506518.586	-1186495.152	
